Date : 2022-04-24 20:44:51
Directory : c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend
Total : 142 files,  36589 codes, 25 comments, 696 blanks, all 37310 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          3 |     30,628 |          0 |          3 |     30,631 |
| TypeScript React   |         96 |      4,713 |         10 |        458 |      5,181 |
| TypeScript         |         38 |      1,165 |         15 |        210 |      1,390 |
| JSON with Comments |          1 |         28 |          0 |          1 |         29 |
| Markdown           |          1 |         26 |          0 |         21 |         47 |
| HTML               |          1 |         20 |          0 |          1 |         21 |
| CSS                |          1 |          8 |          0 |          2 |         10 |
| XML                |          1 |          1 |          0 |          0 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                        | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                           |        142 |     36,589 |         25 |        696 |     37,310 |
| public                                                                                                                                      |          2 |         45 |          0 |          2 |         47 |
| src                                                                                                                                         |        136 |      5,887 |         25 |        670 |      6,582 |
| src\Layouts                                                                                                                                 |          4 |        205 |          0 |         17 |        222 |
| src\Layouts\navigations                                                                                                                     |          2 |        180 |          0 |         13 |        193 |
| src\assets                                                                                                                                  |          1 |          1 |          0 |          0 |          1 |
| src\assets\icons                                                                                                                            |          1 |          1 |          0 |          0 |          1 |
| src\components                                                                                                                              |         25 |      1,491 |          4 |        129 |      1,624 |
| src\components\containers                                                                                                                   |          1 |          9 |          0 |          3 |         12 |
| src\components\forms                                                                                                                        |          6 |        451 |          0 |         28 |        479 |
| src\components\inputs                                                                                                                       |          7 |        410 |          0 |         33 |        443 |
| src\components\others                                                                                                                       |          3 |        164 |          0 |         17 |        181 |
| src\components\timer                                                                                                                        |          1 |         53 |          0 |          8 |         61 |
| src\components\tracking                                                                                                                     |          5 |        297 |          3 |         31 |        331 |
| src\components\tracking\modals                                                                                                              |          5 |        297 |          3 |         31 |        331 |
| src\components\userInsights                                                                                                                 |          2 |        107 |          1 |          9 |        117 |
| src\components\userInsights\lastMonths                                                                                                      |          1 |         45 |          1 |          4 |         50 |
| src\components\userInsights\topProjects                                                                                                     |          1 |         62 |          0 |          5 |         67 |
| src\constants                                                                                                                               |          4 |         74 |          0 |         13 |         87 |
| src\hooks                                                                                                                                   |          2 |         26 |          0 |          3 |         29 |
| src\pages                                                                                                                                   |         61 |      2,761 |          6 |        282 |      3,049 |
| src\pages\reports                                                                                                                           |          5 |        190 |          0 |         16 |        206 |
| src\pages\reports\components                                                                                                                |          4 |        171 |          0 |         13 |        184 |
| src\pages\reports\components\pages                                                                                                          |          3 |        142 |          0 |          9 |        151 |
| src\pages\reports\components\pages\systemReport                                                                                             |          1 |         11 |          0 |          2 |         13 |
| src\pages\reports\components\pages\timerReport                                                                                              |          2 |        131 |          0 |          7 |        138 |
| src\pages\reports\components\pages\timerReport\components                                                                                   |          1 |         90 |          0 |          5 |         95 |
| src\pages\tasks                                                                                                                             |          7 |        417 |          2 |         44 |        463 |
| src\pages\tasks\components                                                                                                                  |          6 |        331 |          1 |         40 |        372 |
| src\pages\tasks\components\new-task                                                                                                         |          2 |        131 |          0 |         10 |        141 |
| src\pages\team                                                                                                                              |         10 |        347 |          1 |         35 |        383 |
| src\pages\team\components                                                                                                                   |          9 |        256 |          1 |         27 |        284 |
| src\pages\team\components\dashboard                                                                                                         |          3 |         98 |          0 |          9 |        107 |
| src\pages\team\components\dashboard\widgets                                                                                                 |          2 |         74 |          0 |          6 |         80 |
| src\pages\team\components\teamInsigths                                                                                                      |          1 |          4 |          1 |          0 |          5 |
| src\pages\tracking                                                                                                                          |         33 |      1,574 |          3 |        157 |      1,734 |
| src\pages\tracking\dashboard                                                                                                                |          6 |        110 |          0 |         12 |        122 |
