Date : 2022-05-19 23:47:42
Directory : c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend
Total : 174 files,  30491 codes, 64 comments, 805 blanks, all 31360 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\routes                                                                                                                                                      |          4 |        195 |          0 |         20 |        215 |
| src\services                                                                                                                                                    |          6 |        279 |          3 |         56 |        338 |
| src\store                                                                                                                                                       |         27 |        750 |          4 |        133 |        887 |
| src\store\clients                                                                                                                                               |          4 |         91 |          1 |         14 |        106 |
| src\store\modals                                                                                                                                                |          2 |         68 |          0 |          6 |         74 |
| src\store\projects                                                                                                                                              |          4 |         72 |          1 |         15 |         88 |
| src\store\settings                                                                                                                                              |          3 |         29 |          1 |          8 |         38 |
| src\store\tasks                                                                                                                                                 |          4 |        130 |          1 |         19 |        150 |
| src\store\types                                                                                                                                                 |          4 |        198 |          0 |         45 |        243 |
| src\store\users                                                                                                                                                 |          4 |        103 |          0 |         19 |        122 |
| src\types                                                                                                                                                       |          1 |        107 |          5 |          9 |        121 |
| src\utils                                                                                                                                                       |          5 |        176 |          6 |         27 |        209 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                                        | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\README.md                                                                                         | Markdown           |         26 |          0 |         21 |         47 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\index.html                                                                                        | HTML               |         20 |          1 |          1 |         22 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\jest.config.js                                                                                    | JavaScript         |          8 |          0 |          0 |          8 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\package-lock.json                                                                                 | JSON               |     23,027 |          0 |          1 |     23,028 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\package.json                                                                                      | JSON               |         93 |          0 |          1 |         94 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\public\manifest.json                                                                              | JSON               |         25 |          0 |          1 |         26 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\App.tsx                                                                                       | TypeScript React   |         58 |          1 |          6 |         65 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\Layouts\LayoutPrivate.tsx                                                                     | TypeScript React   |         16 |          0 |          2 |         18 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\Layouts\LayoutPublic.tsx                                                                      | TypeScript React   |          9 |          0 |          2 |         11 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\Layouts\navigations\Header.tsx                                                                | TypeScript React   |         79 |          0 |          3 |         82 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\Layouts\navigations\SideBar.tsx                                                               | TypeScript React   |        136 |          0 |         11 |        147 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\__tests__\integration\login.test.tsx                                                          | TypeScript React   |         76 |          2 |          4 |         82 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\__tests__\unit.test.ts                                                                        | TypeScript         |        104 |          1 |          1 |        106 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\assets\icons\time_management.svg                                                              | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\containers\PageContainer.tsx                                                       | TypeScript React   |          9 |          0 |          3 |         12 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\forms\EmailSendForm.tsx                                                            | TypeScript React   |         23 |          0 |          3 |         26 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\forms\LoginForm.tsx                                                                | TypeScript React   |         90 |          0 |          6 |         96 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\forms\NotificationsForm.tsx                                                        | TypeScript React   |         70 |          0 |          3 |         73 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\forms\PasswordResetForm.tsx                                                        | TypeScript React   |        101 |          0 |          8 |        109 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\forms\ProfileForm.tsx                                                              | TypeScript React   |         84 |          0 |          4 |         88 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\forms\RegisterForm.tsx                                                             | TypeScript React   |         86 |          0 |          4 |         90 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\inputs\Checkbox.tsx                                                                | TypeScript React   |         37 |          0 |          5 |         42 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\inputs\DateInput.tsx                                                               | TypeScript React   |         67 |          0 |          4 |         71 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\inputs\EmailInput.tsx                                                              | TypeScript React   |         49 |          0 |          6 |         55 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\inputs\InputUtil.tsx                                                               | TypeScript React   |         78 |          0 |          4 |         82 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\inputs\MultiSelect.tsx                                                             | TypeScript React   |         59 |          0 |          5 |         64 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\inputs\Select.tsx                                                                  | TypeScript React   |         58 |          0 |          5 |         63 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\inputs\TimeInput.tsx                                                               | TypeScript React   |         64 |          0 |          4 |         68 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\inputs\__tests__\EmailInput.test.tsx                                               | TypeScript React   |         23 |          3 |          1 |         27 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\others\CustomTable.tsx                                                             | TypeScript React   |        106 |          0 |          8 |        114 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\others\Loader.tsx                                                                  | TypeScript React   |         46 |          0 |          6 |         52 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\others\Toast.tsx                                                                   | TypeScript React   |         12 |          0 |          3 |         15 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\timer\TaskTimer.tsx                                                                | TypeScript React   |         53 |          0 |          8 |         61 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\tracking\modals\DialogWithClose.tsx                                                | TypeScript React   |         28 |          0 |          4 |         32 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\tracking\modals\EditTaskModal.tsx                                                  | TypeScript React   |         89 |          0 |          7 |         96 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\tracking\modals\EditTimesModal.tsx                                                 | TypeScript React   |         94 |          0 |          6 |        100 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\tracking\modals\EditUserModal.tsx                                                  | TypeScript React   |         21 |          0 |          3 |         24 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\tracking\modals\ImportTaskModal.tsx                                                | TypeScript React   |         84 |          3 |         11 |         98 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\userInsights\lastMonths\WorkingStatistics.tsx                                      | TypeScript React   |         50 |          1 |          5 |         56 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\userInsights\topProjects\TopProjects.tsx                                           | TypeScript React   |         65 |          0 |          5 |         70 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\constants\api.ts                                                                              | TypeScript         |         50 |          0 |          5 |         55 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\constants\languages.ts                                                                        | TypeScript         |          8 |          0 |          2 |         10 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\constants\other.ts                                                                            | TypeScript         |          3 |          0 |          1 |          4 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\constants\routes.ts                                                                           | TypeScript         |         17 |          0 |          2 |         19 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\constants\tokenStorage.ts                                                                     | TypeScript         |         27 |          0 |          8 |         35 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\hooks\use-admin.ts                                                                            | TypeScript         |          8 |          0 |          1 |          9 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\hooks\use-stopwatch.ts                                                                        | TypeScript         |         23 |          0 |          6 |         29 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\i18n.ts                                                                                       | TypeScript         |         23 |          0 |          4 |         27 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\index.css                                                                                     | CSS                |          8 |          0 |          2 |         10 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\index.tsx                                                                                     | TypeScript React   |         23 |          0 |          6 |         29 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\locales\EN\translations.json                                                                  | JSON               |         31 |          0 |          0 |         31 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\locales\LT\translations.json                                                                  | JSON               |         31 |          0 |          0 |         31 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\clients\Clients.tsx                                                                     | TypeScript React   |         52 |          0 |          3 |         55 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\clients\__tests__\Clients.test.tsx                                                      | TypeScript React   |         81 |          3 |          6 |         90 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\clients\components\CreateClientModal.tsx                                                | TypeScript React   |         35 |          0 |          4 |         39 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\clients\components\DeleteClient.tsx                                                     | TypeScript React   |         31 |         13 |          2 |         46 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\clients\components\EditClientModal.tsx                                                  | TypeScript React   |         58 |          0 |          4 |         62 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\reports\Reports.tsx                                                                     | TypeScript React   |         19 |          0 |          3 |         22 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\reports\__tests__\Reports.test.tsx                                                      | TypeScript React   |         14 |          1 |          1 |         16 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\reports\__tests__\SystemReport.test.tsx                                                 | TypeScript React   |         15 |          1 |          1 |         17 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\reports\components\SelectReport.tsx                                                     | TypeScript React   |         29 |          0 |          4 |         33 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\reports\components\pages\systemReport\SystemReport.tsx                                  | TypeScript React   |         24 |          0 |          2 |         26 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\reports\components\pages\systemReport\components\UserItem\UserItem.tsx                  | TypeScript React   |         27 |          0 |          4 |         31 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\reports\components\pages\systemReport\components\UserItem\components\UserStatistics.tsx | TypeScript React   |         24 |          0 |          3 |         27 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\reports\components\pages\systemReport\components\UsersList\UsersList.tsx                | TypeScript React   |         16 |          0 |          2 |         18 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\reports\components\pages\timerReport\TimerReport.tsx                                    | TypeScript React   |         43 |          0 |          3 |         46 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\reports\components\pages\timerReport\components\Filters.tsx                             | TypeScript React   |         91 |          0 |          5 |         96 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tasks\Tasks.tsx                                                                         | TypeScript React   |         86 |          1 |          4 |         91 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tasks\__tests__\Tasks.test.tsx                                                          | TypeScript React   |        115 |          4 |          3 |        122 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tasks\components\Assignee.tsx                                                           | TypeScript React   |         59 |          1 |          9 |         69 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tasks\components\Filters.tsx                                                            | TypeScript React   |         86 |          0 |         13 |         99 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tasks\components\TaskName.tsx                                                           | TypeScript React   |         16 |          0 |          3 |         19 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tasks\components\TaskStatus.tsx                                                         | TypeScript React   |         39 |          0 |          5 |         44 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tasks\components\new-task\CreateNewTaskModal.tsx                                        | TypeScript React   |         16 |          0 |          2 |         18 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tasks\components\new-task\NewTaskForm.tsx                                               | TypeScript React   |        115 |          0 |          8 |        123 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\Team.tsx                                                                           | TypeScript React   |         91 |          0 |          8 |         99 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\AddNewEmployee.tsx                                                      | TypeScript React   |         21 |          0 |          2 |         23 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\AddNewEmployeeForm.tsx                                                  | TypeScript React   |         75 |          0 |          6 |         81 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\RemoveEmployee.tsx                                                      | TypeScript React   |         34 |          0 |          4 |         38 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\TeamMemberName.tsx                                                      | TypeScript React   |         10 |          0 |          2 |         12 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\TeamMemberRole.tsx                                                      | TypeScript React   |         16 |          0 |          4 |         20 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\dashboard\Dashboard.tsx                                                 | TypeScript React   |         27 |          0 |          3 |         30 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\dashboard\widgets\Realtime.tsx                                          | TypeScript React   |         20 |          0 |          2 |         22 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\dashboard\widgets\RealtimeUser.tsx                                      | TypeScript React   |         54 |          0 |          4 |         58 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\teamInsigths\TeamMemberInsight.tsx                                      | TypeScript React   |          4 |          1 |          0 |          5 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\dashboard\Dashboard.tsx                                                        | TypeScript React   |         29 |          0 |          3 |         32 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\dashboard\components\AsignedTasks\AsignedTasks.tsx                             | TypeScript React   |         27 |          0 |          2 |         29 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\dashboard\components\AsignedTasks\components\TasksList.tsx                     | TypeScript React   |         35 |          0 |          5 |         40 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\dashboard\components\Statistics\components\BasicInfo.tsx                       | TypeScript React   |         14 |          0 |          1 |         15 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\dashboard\components\Statistics\components\TimeInfo.tsx                        | TypeScript React   |          2 |          0 |          1 |          3 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\dashboard\components\Statistics\index.tsx                                      | TypeScript React   |          7 |          0 |          1 |          8 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\Projects.tsx                                                           | TypeScript React   |         94 |          0 |         10 |        104 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\__tests__\Projects.test.tsx                                            | TypeScript React   |         59 |          0 |          2 |         61 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\AddUsersToProjectForm.tsx                                   | TypeScript React   |        106 |          0 |          9 |        115 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\AddUsersToProjectModal.tsx                                  | TypeScript React   |         22 |          0 |          2 |         24 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\CreateProjectForm.tsx                                       | TypeScript React   |         83 |          0 |          6 |         89 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\CreateProjectModal.tsx                                      | TypeScript React   |         20 |          0 |          2 |         22 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\InvitedUsers.tsx                                            | TypeScript React   |          6 |          0 |          3 |          9 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\InvitedUsersTable.tsx                                       | TypeScript React   |        107 |          0 |         10 |        117 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\Project.tsx                                                 | TypeScript React   |         62 |          0 |          7 |         69 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\ProjectAccess.tsx                                           | TypeScript React   |         96 |          0 |          8 |        104 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\ProjectFilters.tsx                                          | TypeScript React   |        101 |          0 |          7 |        108 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\ProjectMenu.tsx                                             | TypeScript React   |         33 |          0 |          5 |         38 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\ProjectName.tsx                                             | TypeScript React   |         20 |          0 |          3 |         23 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\ProjectSettings.tsx                                         | TypeScript React   |         30 |          0 |          1 |         31 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\ProjectTabs.tsx                                             | TypeScript React   |         30 |          0 |          6 |         36 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\TotalTacked.tsx                                             | TypeScript React   |         10 |          0 |          2 |         12 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\statistics\ProjectStatistics.tsx                            | TypeScript React   |         31 |          0 |          3 |         34 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\statistics\components\ProjectWidget.tsx                     | TypeScript React   |         69 |          0 |          4 |         73 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\statistics\components\UsersPieChart.tsx                     | TypeScript React   |        117 |          0 |          7 |        124 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\tasks\CreateTaskForm.tsx                                    | TypeScript React   |         78 |          0 |          6 |         84 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\tasks\CreateTaskModal.tsx                                   | TypeScript React   |         34 |          0 |          2 |         36 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\tasks\TaskTime.tsx                                          | TypeScript React   |         16 |          0 |          4 |         20 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\tasks\Tasks.tsx                                             | TypeScript React   |         36 |          0 |          4 |         40 |
