Date : 2022-04-05 23:43:10
Directory : c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend
Total : 101 files,  34059 codes, 39 comments, 469 blanks, all 34567 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          3 |     30,477 |          0 |          3 |     30,480 |
| TypeScript React   |         63 |      2,691 |         29 |        290 |      3,010 |
| TypeScript         |         30 |        808 |         10 |        151 |        969 |
| JSON with Comments |          1 |         28 |          0 |          1 |         29 |
| Markdown           |          1 |         26 |          0 |         21 |         47 |
| HTML               |          1 |         20 |          0 |          1 |         21 |
| CSS                |          1 |          8 |          0 |          2 |         10 |
| XML                |          1 |          1 |          0 |          0 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                        | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                           |        101 |     34,059 |         39 |        469 |     34,567 |
| public                                                                                                                                      |          2 |         45 |          0 |          2 |         47 |
| src                                                                                                                                         |         95 |      3,508 |         39 |        443 |      3,990 |
| src\Layouts                                                                                                                                 |          4 |        173 |          0 |         17 |        190 |
| src\Layouts\navigations                                                                                                                     |          2 |        148 |          0 |         13 |        161 |
| src\assets                                                                                                                                  |          1 |          1 |          0 |          0 |          1 |
| src\assets\icons                                                                                                                            |          1 |          1 |          0 |          0 |          1 |
| src\components                                                                                                                              |         15 |        814 |          1 |         74 |        889 |
| src\components\containers                                                                                                                   |          1 |          9 |          0 |          3 |         12 |
| src\components\forms                                                                                                                        |          2 |        162 |          0 |          9 |        171 |
| src\components\inputs                                                                                                                       |          5 |        294 |          0 |         24 |        318 |
| src\components\others                                                                                                                       |          3 |        162 |          0 |         17 |        179 |
| src\components\timer                                                                                                                        |          1 |         51 |          0 |          8 |         59 |
| src\components\tracking                                                                                                                     |          1 |         28 |          0 |          4 |         32 |
| src\components\tracking\modals                                                                                                              |          1 |         28 |          0 |          4 |         32 |
| src\components\userInsights                                                                                                                 |          2 |        108 |          1 |          9 |        118 |
| src\components\userInsights\lastMonths                                                                                                      |          1 |         45 |          1 |          4 |         50 |
| src\components\userInsights\topProjects                                                                                                     |          1 |         63 |          0 |          5 |         68 |
| src\constants                                                                                                                               |          4 |         42 |          0 |          8 |         50 |
| src\hooks                                                                                                                                   |          1 |         18 |          0 |          2 |         20 |
