Date : 2022-04-13 22:13:48
Directory : c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend
Total : 121 files,  34915 codes, 21 comments, 556 blanks, all 35492 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          3 |     30,447 |          0 |          3 |     30,450 |
| TypeScript React   |         76 |      3,350 |          7 |        342 |      3,699 |
| TypeScript         |         37 |      1,035 |         14 |        186 |      1,235 |
| JSON with Comments |          1 |         28 |          0 |          1 |         29 |
| Markdown           |          1 |         26 |          0 |         21 |         47 |
| HTML               |          1 |         20 |          0 |          1 |         21 |
| CSS                |          1 |          8 |          0 |          2 |         10 |
| XML                |          1 |          1 |          0 |          0 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                        | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                           |        121 |     34,915 |         21 |        556 |     35,492 |
| public                                                                                                                                      |          2 |         45 |          0 |          2 |         47 |
| src                                                                                                                                         |        115 |      4,394 |         21 |        530 |      4,945 |
| src\Layouts                                                                                                                                 |          4 |        177 |          0 |         17 |        194 |
| src\Layouts\navigations                                                                                                                     |          2 |        152 |          0 |         13 |        165 |
| src\assets                                                                                                                                  |          1 |          1 |          0 |          0 |          1 |
| src\assets\icons                                                                                                                            |          1 |          1 |          0 |          0 |          1 |
| src\components                                                                                                                              |         21 |      1,240 |          4 |        105 |      1,349 |
| src\components\containers                                                                                                                   |          1 |          9 |          0 |          3 |         12 |
| src\components\forms                                                                                                                        |          4 |        316 |          0 |         16 |        332 |
| src\components\inputs                                                                                                                       |          6 |        360 |          0 |         28 |        388 |
| src\components\others                                                                                                                       |          3 |        162 |          0 |         17 |        179 |
| src\components\timer                                                                                                                        |          1 |         53 |          0 |          8 |         61 |
| src\components\tracking                                                                                                                     |          4 |        233 |          3 |         24 |        260 |
| src\components\tracking\modals                                                                                                              |          4 |        233 |          3 |         24 |        260 |
| src\components\userInsights                                                                                                                 |          2 |        107 |          1 |          9 |        117 |
| src\components\userInsights\lastMonths                                                                                                      |          1 |         45 |          1 |          4 |         50 |
| src\components\userInsights\topProjects                                                                                                     |          1 |         62 |          0 |          5 |         67 |
| src\constants                                                                                                                               |          4 |         56 |          0 |         12 |         68 |
| src\hooks                                                                                                                                   |          1 |         18 |          0 |          2 |         20 |
| src\pages                                                                                                                                   |         45 |      1,721 |          3 |        192 |      1,916 |
| src\pages\reports                                                                                                                           |          1 |          3 |          0 |          2 |          5 |
| src\pages\team                                                                                                                              |          9 |        283 |          1 |         31 |        315 |
| src\pages\team\components                                                                                                                   |          8 |        201 |          1 |         23 |        225 |
| src\pages\team\components\dashboard                                                                                                         |          3 |         76 |          0 |          9 |         85 |
| src\pages\team\components\dashboard\widgets                                                                                                 |          2 |         52 |          0 |          6 |         58 |
| src\pages\team\components\teamInsigths                                                                                                      |          1 |          4 |          1 |          0 |          5 |
