Date : 2022-04-20 15:37:10
Directory : c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend
Total : 129 files,  35582 codes, 23 comments, 601 blanks, all 36206 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          3 |     30,628 |          0 |          3 |     30,631 |
| TypeScript React   |         84 |      3,780 |          8 |        375 |      4,163 |
| TypeScript         |         37 |      1,091 |         15 |        198 |      1,304 |
| JSON with Comments |          1 |         28 |          0 |          1 |         29 |
| Markdown           |          1 |         26 |          0 |         21 |         47 |
| HTML               |          1 |         20 |          0 |          1 |         21 |
| CSS                |          1 |          8 |          0 |          2 |         10 |
| XML                |          1 |          1 |          0 |          0 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                        | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                           |        129 |     35,582 |         23 |        601 |     36,206 |
| public                                                                                                                                      |          2 |         45 |          0 |          2 |         47 |
| src                                                                                                                                         |        123 |      4,880 |         23 |        575 |      5,478 |
| src\Layouts                                                                                                                                 |          4 |        205 |          0 |         17 |        222 |
| src\Layouts\navigations                                                                                                                     |          2 |        180 |          0 |         13 |        193 |
| src\assets                                                                                                                                  |          1 |          1 |          0 |          0 |          1 |
| src\assets\icons                                                                                                                            |          1 |          1 |          0 |          0 |          1 |
| src\components                                                                                                                              |         23 |      1,313 |          4 |        114 |      1,431 |
| src\components\containers                                                                                                                   |          1 |          9 |          0 |          3 |         12 |
| src\components\forms                                                                                                                        |          5 |        345 |          0 |         20 |        365 |
| src\components\inputs                                                                                                                       |          7 |        410 |          0 |         33 |        443 |
| src\components\others                                                                                                                       |          3 |        162 |          0 |         17 |        179 |
| src\components\timer                                                                                                                        |          1 |         53 |          0 |          8 |         61 |
| src\components\tracking                                                                                                                     |          4 |        227 |          3 |         24 |        254 |
| src\components\tracking\modals                                                                                                              |          4 |        227 |          3 |         24 |        254 |
| src\components\userInsights                                                                                                                 |          2 |        107 |          1 |          9 |        117 |
| src\components\userInsights\lastMonths                                                                                                      |          1 |         45 |          1 |          4 |         50 |
| src\components\userInsights\topProjects                                                                                                     |          1 |         62 |          0 |          5 |         67 |
| src\constants                                                                                                                               |          4 |         63 |          0 |         13 |         76 |
| src\hooks                                                                                                                                   |          1 |         18 |          0 |          2 |         20 |
| src\pages                                                                                                                                   |         51 |      2,018 |          4 |        214 |      2,236 |
| src\pages\reports                                                                                                                           |          5 |        202 |          0 |         16 |        218 |
| src\pages\reports\components                                                                                                                |          4 |        183 |          0 |         13 |        196 |
| src\pages\reports\components\pages                                                                                                          |          3 |        154 |          0 |          9 |        163 |
| src\pages\reports\components\pages\systemReport                                                                                             |          1 |         11 |          0 |          2 |         13 |
| src\pages\reports\components\pages\timerReport                                                                                              |          2 |        143 |          0 |          7 |        150 |
| src\pages\reports\components\pages\timerReport\components                                                                                   |          1 |        102 |          0 |          5 |        107 |
| src\pages\tasks                                                                                                                             |          1 |         31 |          1 |          5 |         37 |
| src\pages\team                                                                                                                              |         10 |        347 |          1 |         35 |        383 |
| src\pages\team\components                                                                                                                   |          9 |        256 |          1 |         27 |        284 |
| src\pages\team\components\dashboard                                                                                                         |          3 |         98 |          0 |          9 |        107 |
| src\pages\team\components\dashboard\widgets                                                                                                 |          2 |         74 |          0 |          6 |         80 |
| src\pages\team\components\teamInsigths                                                                                                      |          1 |          4 |          1 |          0 |          5 |
| src\pages\tracking                                                                                                                          |         32 |      1,334 |          2 |        144 |      1,480 |
| src\pages\tracking\dashboard                                                                                                                |          6 |        110 |          0 |         12 |        122 |
| src\pages\tracking\dashboard\components                                                                                                     |          5 |         83 |          0 |         10 |         93 |
| src\pages\tracking\dashboard\components\AsignedTasks                                                                                        |          2 |         60 |          0 |          7 |         67 |
